Nation:,Type / Application:,Operator:,Contractors:,Equipment:,Configuration:,Propulsion:,Power:,Lifetime:,Mass:,Orbit:,titulo
USA,Research,NASA,Army Ballistic Missile Agency,,,None,"Solar cells, batteries",,42 kg,"560 km × 1090 km, 50.27°","S-1 (Explorer (6), 7)"
USA,Research,NASA,Army Ballistic Missile Agency,,,None,"Solar cells, batteries",,42 kg,"560 km × 1090 km, 50.27°","S-1 (Explorer (6), 7)"
USA,"Research, ionospheric",NASA,,,,?,"Solar cells, batteries",,16 kg ?,,S-46 (Explorer (8))
USA,"Research, ionospheric",NASA,"NASA, Marshall Space Flight Center",,,None,Batteries,54 days,41 kg,"416 km × 2290 km, 49.98°",S-30 (Explorer 8)
USA,"Research, ionospheric",NASA,,,,?,"Solar cells, batteries",,34 kg,,"S-45 (Explorer (10), (12))"
USA,"Astronomy, Gamma ray",NASA,Marshall Space Flight Center,,,?,"Solar cells, batteries",,37 kg,"487 km × 1779 km, 28.80°",S-15 (Explorer 11)
USA,"Research, ionospheric",NASA,,,,?,"Solar cells, batteries",,34 kg,,"S-45 (Explorer (10), (12))"
USA,Experimental communication,US Air Force (USAF),U.S. Army Signal Research and Development Laboratory (SRDL),"2 UHF transmitters, 2 tape recorders, 2 Minitrack beacons",Atlas body with communication equipment,none (after reaching orbit),Batteries,21 days (design); 13 days (achieved),"3970 kg (total), 68 kg (payload only)","185 km × 1484 km, 32.3°",SCORE
USA,Technology,ARPA,,?,Agena-A,Bell 8048,Batteries,,,"163 km × 967 km, 89.70° (#1) (doubtful)",Discoverer 1
USA,Technology,ARPA,,?,Agena-A,Bell 8048,Batteries,,,"163 km × 967 km, 89.70° (#1) (doubtful)",Discoverer 1
USA,Technology,ARPA,,?,"Agena-A, 1 SRVs","Bell 8048, Star 12 retro motor",Batteries,,,"239 km × 346 km, 89.90° (#2); 245 km × 614 km, 82.85° (#13)","Discoverer 2, 3, 12, 13"
USA,Technology,ARPA,,?,"Agena-A, 1 SRVs","Bell 8048, Star 12 retro motor",Batteries,,,"239 km × 346 km, 89.90° (#2); 245 km × 614 km, 82.85° (#13)","Discoverer 2, 3, 12, 13"
USA,"Reconnaissance, photo (film return type)",CIA,Lockheed,C-Camera,"Agena-A, 1 SRV","Bell 8048, Star-12 retro motor",Batteries,,,,KH-1 Corona
USA,"Reconnaissance, photo (film return type)",CIA,Lockheed,C-Camera,"Agena-A, 1 SRV","Bell 8048, Star-12 retro motor",Batteries,,,,KH-1 Corona
USA,"Reconnaissance, photo (film return type)",CIA,Lockheed,C-Camera,"Agena-A, 1 SRV","Bell 8048, Star-12 retro motor",Batteries,,,,KH-1 Corona
USA,"Reconnaissance, photo (film return type)",CIA,Lockheed,C-Camera,"Agena-A, 1 SRV","Bell 8048, Star-12 retro motor",Batteries,,,,KH-1 Corona
USA,"Reconnaissance, photo (film return type)",CIA,Lockheed,C-Camera,"Agena-A, 1 SRV","Bell 8048, Star-12 retro motor",Batteries,,,,KH-1 Corona
USA,"Reconnaissance, photo (film return type)",CIA,Lockheed,C-Camera,"Agena-A, 1 SRV","Bell 8048, Star-12 retro motor",Batteries,,,,KH-1 Corona
USA,"Reconnaissance, photo (film return type)",CIA,Lockheed,C-Camera,"Agena-A, 1 SRV","Bell 8048, Star-12 retro motor",Batteries,,,,KH-1 Corona
USA,"Reconnaissance, photo (film return type)",CIA,Lockheed,C-Camera,"Agena-A, 1 SRV","Bell 8048, Star-12 retro motor",Batteries,,,,KH-1 Corona
USA,Technology,ARPA,,?,"Agena-A, 1 SRVs","Bell 8048, Star 12 retro motor",Batteries,,,"239 km × 346 km, 89.90° (#2); 245 km × 614 km, 82.85° (#13)","Discoverer 2, 3, 12, 13"
USA,Technology,ARPA,,?,"Agena-A, 1 SRVs","Bell 8048, Star 12 retro motor",Batteries,,,"239 km × 346 km, 89.90° (#2); 245 km × 614 km, 82.85° (#13)","Discoverer 2, 3, 12, 13"
USA,"Reconnaissance, photo (film return type)",CIA,Lockheed,C-Camera,"Agena-A, 1 SRV","Bell 8048, Star-12 retro motor",Batteries,,,,KH-1 Corona
USA,"Reconnaissance, photo (film return type)",CIA,Lockheed,C-Camera,"Agena-A, 1 SRV","Bell 8048, Star-12 retro motor",Batteries,,,,KH-1 Corona
USA,"Research, Ionosphere, Magnetosphere",NASA,TRW Space Technology Laboratory (STL),"Radiation detectors, scanning device",,ARC-420 AKM,"4 deployable solar arrays, batteries",2 months,64 kg,"181 km × 39636 km, 47.10°",S-2 (Explorer 6)
USA,Atmosphere density,US Army,NASA Langley Research Center,,12ft Balloon,None,None,,5 kg,,"Beacon 1, 2"
USA,Navigation,USN,Johns Hopkins University Applied Physics Laboratory (APL),?,Sphere,None,"Solar cells (body mounted), batteries",,119 kg,"373 km × 748 km, 51.28°","Transit 1A, 1B"
USA,Meteorology,"NASA, ESSA",RCA,?,,?,"Solar cells, batteries",,123 kg (#1); 127 kg (#2),SSO,"TIROS 1, 2, 3, 4, 5, 6, 7, 8, 10"
USA,Science,NASA,Naval Research Laboratory (NRL),,,,Batteries,84 days,23 kg,"512 km × 3744 km, 33.3°","Vanguard (20in Magnetometer, X-Ray, Environment)"
USA,Lunar Orbiter,NASA,TRW Space Technology Laboratory (STL),see above,Sphere with four paddle-wheel solar arrays,2 × hydrazine thrusters,"4 deployable solar arrays, batteries",,"168 kg (#P3); 175 kg (#P30, #P31);",Lunar orbit (planned),"Pioneer P-1, P-3, P-30, P-31"
USA,Lunar Orbiter,NASA,TRW Space Technology Laboratory (STL),see above,Sphere with four paddle-wheel solar arrays,2 × hydrazine thrusters,"4 deployable solar arrays, batteries",,"168 kg (#P3); 175 kg (#P30, #P31);",Lunar orbit (planned),"Pioneer P-1, P-3, P-30, P-31"
USA,Lunar Orbiter,NASA,TRW Space Technology Laboratory (STL),see above,Sphere with four paddle-wheel solar arrays,2 × hydrazine thrusters,"4 deployable solar arrays, batteries",,"168 kg (#P3); 175 kg (#P30, #P31);",Lunar orbit (planned),"Pioneer P-1, P-3, P-30, P-31"
USA,Lunar Orbiter,NASA,TRW Space Technology Laboratory (STL),see above,Sphere with four paddle-wheel solar arrays,2 × hydrazine thrusters,"4 deployable solar arrays, batteries",,"168 kg (#P3); 175 kg (#P30, #P31);",Lunar orbit (planned),"Pioneer P-1, P-3, P-30, P-31"
USA,Early Warning,US Air Force (USAF),"Lockheed (prime), Aerojet-General (payload)",ETS-I sensor,Agena-A,Bell 8048,Batteries,,2300 kg,"484 km × 511 km, 33° (#2)","MIDAS 1, 2 (MIDAS Series 1)"
USA,Early Warning,US Air Force (USAF),"Lockheed (prime), Aerojet-General (payload)",ETS-I sensor,Agena-A,Bell 8048,Batteries,,2300 kg,"484 km × 511 km, 33° (#2)","MIDAS 1, 2 (MIDAS Series 1)"
USA,"Reconnaissance, photo (film scan type)",US Air Force (USAF),,"E-1 camera, F-1 ELINT package",Agena-A,Bell 8048,Batteries,10 days,,"557 km × 474 km, 97.4°",Samos-E1
USA,"ELINT, SIGINT",US Air Force (USAF),,F-1 ELINT package,Agena-A,,Batteries,,,"557 km × 474 km, 97.4°",Samos-F1
USA,"Reconnaissance, photo (film scan type)",US Air Force (USAF),,"E-1 camera, F-1 ELINT package",Agena-A,Bell 8048,Batteries,10 days,,"557 km × 474 km, 97.4°",Samos-E1
USA,"ELINT, SIGINT",US Air Force (USAF),,F-1 ELINT package,Agena-A,,Batteries,,,"557 km × 474 km, 97.4°",Samos-F1
USA,Solar Orbiter,NASA,TRW Space Technology Laboratory (STL),see above,,?,"4 deployable solar arrays, batteries",3.5 months,43 kg,heliocentric,Pioneer 5 (P 2)
USA,Navigation,USN,Johns Hopkins University Applied Physics Laboratory (APL),?,Sphere,None,"Solar cells (body mounted), batteries",,119 kg,"373 km × 748 km, 51.28°","Transit 1A, 1B"
USA,Vehicle evaluation,Naval Research Laboratory (NRL) / US Navy,Naval Research Laboratory (NRL),,NRL 20in sphere,None,None,,18 kg ?,"285 km × 663 km, 51.29°",Solrad Model
USA,Navigation,USN,Johns Hopkins University Applied Physics Laboratory (APL),?,Sphere,None,"Solar cells (body mounted), batteries",,101 kg,"628 km × 1047 km, 66.69°","Transit 2A, 2B"
USA,"ELINT, SIGINT, Research",Naval Research Laboratory (NRL) / US Navy,Naval Research Laboratory (NRL),,NRL 20in sphere,None,"Solar cells, batteries",,18 kg,"614 km × 1058 km, 66.77° (#1); 882 km × 996 km, 66.82° (#2)","Grab 1, 2 (Dyno) / Poppy 1, 2 / Solrad 1, 2, 3, 4A, 4B"
USA,Communication,US Army,Philco Western Development Labs (WDL) (formerly Army Fort Monmouth Laboratories),,Sphere,None,"Solar cells, batteries",,230 kg,938 km × 1237 km; 28.33°,"Courier 1A, 1B, 1C"
USA,Communication,US Army,Philco Western Development Labs (WDL) (formerly Army Fort Monmouth Laboratories),,Sphere,None,"Solar cells, batteries",,230 kg,938 km × 1237 km; 28.33°,"Courier 1A, 1B, 1C"
USA,Navigation,USN,Johns Hopkins University Applied Physics Laboratory (APL),?,Sphere,?,"Solar cells (body mounted), batteries",,113 kg,"150 km × 847 km, 28.36°","Transit 3A, 3B"
USA,"ELINT, SIGINT, Research",Naval Research Laboratory (NRL) / US Navy,Naval Research Laboratory (NRL),,NRL 20in sphere,None,"Solar cells, batteries",,18 kg,"614 km × 1058 km, 66.77° (#1); 882 km × 996 km, 66.82° (#2)","Grab 1, 2 (Dyno) / Poppy 1, 2 / Solrad 1, 2, 3, 4A, 4B"
USA,Navigation,USN,Johns Hopkins University Applied Physics Laboratory (APL),?,Sphere,?,"Solar cells (body mounted), batteries",,113 kg,"150 km × 847 km, 28.36°","Transit 3A, 3B"
USA,Research,Naval Research Laboratory (NRL) / US Navy,Naval Research Laboratory (NRL),,NRL 20in sphere,None,"Solar cells, batteries",,,"167 km × 1002 km, 28.38° (#1)","LOFTI 1, 2"
USA,Navigation,USN,Johns Hopkins University Applied Physics Laboratory (APL),?,"Cylinder, RTG",?,"Solar cells (body mounted), SNAP 3 RTG",,"79 kg (#4A), 86 kg (#4B)","881 km × 998 km, 66.81° (#4A); 956 km × 1106 km, 32.4° (#4B)","Transit 4A, 4B"
USA,"Research, ionosphere",University of Iowa,University of Iowa,See above,,None,"Solar cells, batteries",,16 kg,"882 km × 996 km, 66.82°",Injun 1
USA,"ELINT, SIGINT, Research",Naval Research Laboratory (NRL) / US Navy,Naval Research Laboratory (NRL),,NRL 20in sphere,None,"Solar cells, batteries",,18 kg,"614 km × 1058 km, 66.77° (#1); 882 km × 996 km, 66.82° (#2)","Grab 1, 2 (Dyno) / Poppy 1, 2 / Solrad 1, 2, 3, 4A, 4B"
USA,Navigation,USN,Johns Hopkins University Applied Physics Laboratory (APL),?,"Cylinder, RTG",?,"Solar cells (body mounted), SNAP 3 RTG",,"79 kg (#4A), 86 kg (#4B)","881 km × 998 km, 66.81° (#4A); 956 km × 1106 km, 32.4° (#4B)","Transit 4A, 4B"
USA,Technology,USN,Johns Hopkins University Applied Physics Laboratory (APL),?,,?,"Solar cells, batteries",270 days (design),109 kg,"957 km × 1109 km, 32.4°",TRAAC
USA,Research,Naval Research Laboratory (NRL) / US Navy,Naval Research Laboratory (NRL),,NRL 20in sphere,None,"Solar cells, batteries",,,"167 km × 1002 km, 28.38° (#1)","LOFTI 1, 2"
USA,Geodesy,US Army,,TR-17 SECOR transponder (#(1)); TR-27 SECOR transponder (#5),NRL 20in sphere,?,"Solar cells, batteries",1 year,,"1136 km × 2424 km, 69.24° (#5)","SECOR (1), 5 (EGRS (1), 5)"
USA,"ELINT, SIGINT, Research",Naval Research Laboratory (NRL) / US Navy,Naval Research Laboratory (NRL),,NRL 20in sphere,None,"Solar cells, batteries",,18 kg,"614 km × 1058 km, 66.77° (#1); 882 km × 996 km, 66.82° (#2)","Grab 1, 2 (Dyno) / Poppy 1, 2 / Solrad 1, 2, 3, 4A, 4B"
USA,"Research, ionosphere",University of Iowa,University of Iowa,See above,,None,"Solar cells, batteries",,99 kg,,Injun 2
USA,Calibration,,,,Instruments attached to Able-Star stage,?,Batteries,,,,Surcal 1
USA,Geodesy,"US Air Force (USAF), US Navy, US Army, NASA",Johns Hopkins University Applied Physics Laboratory (APL),"Flashing lights, radio ranging and radio Doppler instrumentation (SECOR)",,None,"Solar cells, batteries",,161 kg,"1075 km × 1181 km, 50.1°","ANNA 1A, 1B"
USA,Geodesy,"US Air Force (USAF), US Navy, US Army, NASA",Johns Hopkins University Applied Physics Laboratory (APL),"Flashing lights, radio ranging and radio Doppler instrumentation (SECOR)",,None,"Solar cells, batteries",,161 kg,"1075 km × 1181 km, 50.1°","ANNA 1A, 1B"
USA,"Communication, passive",NASA,G. T. Schjeldahl Co. (Balloon); Kaiser-Fleetwings Co. (Container),Beacon transmitters,"Balloon, 30.5 m",None,"Solar cells, batteries",,56 kg,"966 km × 2157 km, 47.3°","Echo 1, 1A"
USA,"Communication, passive",NASA,G. T. Schjeldahl Co. (Balloon); Kaiser-Fleetwings Co. (Container),Beacon transmitters,"Balloon, 30.5 m",None,"Solar cells, batteries",,56 kg,"966 km × 2157 km, 47.3°","Echo 1, 1A"
USA,Meteorology,"NASA, ESSA",RCA,?,,?,"Solar cells, batteries",,123 kg (#1); 127 kg (#2),SSO,"TIROS 1, 2, 3, 4, 5, 6, 7, 8, 10"
USA,Research,NASA,"NASA, Goddard Space Flight Center","2 fluxgate magnetometers, rubidium vapor magnetometer,   Faraday cup plasma probe",,None,Batteries,52 hours,35 kg,"221 km × 181100 km, 33.00°",P-14 (Explorer 10)
USA,Meteorology,"NASA, ESSA",RCA,?,,?,"Solar cells, batteries",,123 kg (#1); 127 kg (#2),SSO,"TIROS 1, 2, 3, 4, 5, 6, 7, 8, 10"
USA,Research,NASA,,,,?,"4 deployable solar arrays, batteries",,"38 kg (#A), 40 kg (#B); 45 kg (#C); 46 kg (#D)","314 km × 77310 km, 33.10° (#A); 281 km × 98530 km, 32.95° (#B);
    313 km × 17640 km, 18.02° (#C); 316 km × 26194 km, 20.14° (#D)","EPE A, B, C, D (S 3 / Explorer 12, 14, 15, 26)"
USA,Meteorology,"NASA, ESSA",RCA,?,,?,"Solar cells, batteries",,123 kg (#1); 127 kg (#2),SSO,"TIROS 1, 2, 3, 4, 5, 6, 7, 8, 10"
USA,Solar observatory,NASA,Ball Aerospace,,,?,"Solar cells, batteries",6 months,,,"OSO 1, 2, C, 3, 4, 5, 6"
"UK, USA",Science,"SERC, NASA",Westinghouse Electric (Spacecraft),,,,"4 deployable solar arrays, batteries",,"62 kg (#1), 68 kg (#2)","397 km × 1202 km, 53.86° (#1); 289 km × 1343 km, 51.65° (#2)","Ariel 1, 2 (UK 1, 2)"
USA,Meteorology,"NASA, ESSA",RCA,?,,?,"Solar cells, batteries",,123 kg (#1); 127 kg (#2),SSO,"TIROS 1, 2, 3, 4, 5, 6, 7, 8, 10"
USA,Communication,AT&T,Bell Telephone Laboratories,2 transmitters,spin stabilized sphere,,"Solar cells, batteries",2 years,171 kg (#1); 176 kg (#2),"956 km × 5634 km, 44.82° (#1); 972 km × 10803 km, 42.72° (#2)","Telstar 1, 2"
USA,Meteorology,"NASA, ESSA",RCA,?,,?,"Solar cells, batteries",,123 kg (#1); 127 kg (#2),SSO,"TIROS 1, 2, 3, 4, 5, 6, 7, 8, 10"
USSR,Crewed spaceflight technology,,,,Vostok / Zenit Bus,TDU-1,Batteries,,,"277 km × 674 km, 64.89°",Vostok-1KP
USSR,Crewed spaceflight technology,,,,Vostok / Zenit Bus,TDU-1,Batteries,,,"307 km × 307 km, 64.90° (#2); 171 km × 237 km, 65.00° (#3)",Vostok-1K
USSR,Crewed spaceflight technology,,,,Vostok / Zenit Bus,TDU-1,Batteries,,,"307 km × 307 km, 64.90° (#2); 171 km × 237 km, 65.00° (#3)",Vostok-1K
USSR,Crewed spaceflight technology,,,,Vostok / Zenit Bus,TDU-1,Batteries,,,"307 km × 307 km, 64.90° (#2); 171 km × 237 km, 65.00° (#3)",Vostok-1K
USSR,Mars flyby,,,,,,"2 fixed solar arrays, batteries",,,,Mars 1M
USSR,Mars flyby,,,,,,"2 fixed solar arrays, batteries",,,,Mars 1M
USSR,Venus flyby,,,,,,"2 fixed solar arrays, batteries",,,,Venera 1VA
USSR,Venus flyby,,,,,,"2 fixed solar arrays, batteries",,,,Venera 1VA
USSR,Venus lander,,,,,KDU-414 (S5.19),"2 fixed solar arrays, batteries",,,,"Venera (2a), (2b) (2MV-1 #1, 2)"
USSR,Venus lander,,,,,KDU-414 (S5.19),"2 fixed solar arrays, batteries",,,,"Venera (2a), (2b) (2MV-1 #1, 2)"
USSR,Venus flyby,,,,,KDU-414 (S5.19),"2 fixed solar arrays, batteries",,,,Venera (2c) (2MV-2 #1)
USSR,Mars flyby,,,,,,"2 deployable fixed solar arrays, batteries",,,,"Mars 1 (2MV-4 #1, 2)"
USSR,Mars flyby,,,,,,"2 deployable fixed solar arrays, batteries",,,,"Mars 1 (2MV-4 #1, 2)"
USSR,Mars lander,,,,,,"2 deployable fixed solar arrays, batteries (probe); batteries (lander)",,890 kg,,Mars (2a) (2MV-3 #1)
USSR,Lunar soft lander,,OKB-1 (#1-11); GSMZ Lavochkin (#12),,,KTDU-5A (S5.5),Batteries,6 days,1580 kg (launch); 99 kg (lander),,Luna Ye-6
USSR,Lunar soft lander,,OKB-1 (#1-11); GSMZ Lavochkin (#12),,,KTDU-5A (S5.5),Batteries,6 days,1580 kg (launch); 99 kg (lander),,Luna Ye-6
USSR,Lunar soft lander,,OKB-1 (#1-11); GSMZ Lavochkin (#12),,,KTDU-5A (S5.5),Batteries,6 days,1580 kg (launch); 99 kg (lander),,Luna Ye-6
USSR,"Solar orbiter and earth reentry capsule (#1), Venus flyby and lander (#2)",,,,,KDU-414 (S5.19),"2 fixed solar arrays, batteries",,800 kg,,"Zond (3MV-1A #1, 2)"
USSR,"Solar orbiter and earth reentry capsule (#1), Venus flyby and lander (#2)",,,,,KDU-414 (S5.19),"2 fixed solar arrays, batteries",,800 kg,,"Zond (3MV-1A #1, 2)"
USSR,Lunar soft lander,,OKB-1 (#1-11); GSMZ Lavochkin (#12),,,KTDU-5A (S5.5),Batteries,6 days,1580 kg (launch); 99 kg (lander),,Luna Ye-6
USSR,Venus flyby and lander,,,,,KDU-414 (S5.19),"2 deployable fixed solar arrays, batteries",,,,"Zond 1 (3MV-1 #1, 2)"
USSR,Venus flyby and lander,,,,,KDU-414 (S5.19),"2 deployable fixed solar arrays, batteries",,,,"Zond 1 (3MV-1 #1, 2)"
USSR,Lunar soft lander,,OKB-1 (#1-11); GSMZ Lavochkin (#12),,,KTDU-5A (S5.5),Batteries,6 days,1580 kg (launch); 99 kg (lander),,Luna Ye-6
USSR,Communication,,"OKB-1 (#1L, ..., 7L)",,KAUR-2,KDU-414 (S5.19),"6 deployable solar arrays, batteries",,,"500 km × 40000 km, 65° (typical)",Molniya-1 (11F67)
USSR,Communication,,"OKB-1 (#1L, ..., 7L)",,KAUR-2,KDU-414 (S5.19),"6 deployable solar arrays, batteries",,,"500 km × 40000 km, 65° (typical)",Molniya-1 (11F67)
